index,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,imdb_score
0,Joel David Moore,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Avatar ,Wes Studi,7.9
1,Orlando Bloom,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End ,Jack Davenport,7.1
2,Rory Kinnear,Action|Adventure|Thriller,Christoph Waltz,Spectre ,Stephanie Sigman,6.8
3,Christian Bale,Action|Thriller,Tom Hardy,The Dark Knight Rises ,Joseph Gordon-Levitt,8.5
4,Rob Walker,Documentary,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,,7.1
5,Samantha Morton,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter ,Polly Walker,6.6
6,James Franco,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,Kirsten Dunst,6.2
7,Donna Murphy,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled ,M.C. Gainey,7.8
8,Robert Downey Jr.,Action|Adventure|Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron ,Scarlett Johansson,7.5
9,Daniel Radcliffe,Adventure|Family|Fantasy|Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince ,Rupert Grint,7.5
10,Lauren Cohan,Action|Adventure|Sci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice ,Alan D. Purwin,6.9
11,Marlon Brando,Action|Adventure|Sci-Fi,Kevin Spacey,Superman Returns ,Frank Langella,6.1
12,Mathieu Amalric,Action|Adventure,Giancarlo Giannini,Quantum of Solace ,Rory Kinnear,6.7
13,Orlando Bloom,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,Jack Davenport,7.3
14,Ruth Wilson,Action|Adventure|Western,Johnny Depp,The Lone Ranger ,Tom Wilkinson,6.5
15,Christopher Meloni,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Man of Steel ,Harry Lennix,7.2
16,Pierfrancesco Favino,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,Damián Alcázar,6.6
17,Robert Downey Jr.,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers ,Scarlett Johansson,8.1
18,Sam Claflin,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,Stephen Graham,6.7
19,Michael Stuhlbarg,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Men in Black 3 ,Nicole Scherzinger,6.8
20,Adam Brown,Adventure|Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies ,James Nesbitt,7.5
21,Andrew Garfield,Action|Adventure|Fantasy,Emma Stone,The Amazing Spider-Man ,Chris Zylka,7
22,William Hurt,Action|Adventure|Drama|History,Mark Addy,Robin Hood ,Scott Grimes,6.7
23,Adam Brown,Adventure|Fantasy,Aidan Turner,The Hobbit: The Desolation of Smaug ,James Nesbitt,7.9
24,Eva Green,Adventure|Family|Fantasy,Christopher Lee,The Golden Compass ,Kristin Scott Thomas,6.1
25,Thomas Kretschmann,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,Evan Parke,7.2
26,Kate Winslet,Drama|Romance,Leonardo DiCaprio,Titanic ,Gloria Stuart,7.7
27,Scarlett Johansson,Action|Adventure|Sci-Fi,Robert Downey Jr.,Captain America: Civil War ,Chris Evans,8.2
